Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Ford,Explorer,2015,3.5,Petrol,Automatic,122697,4,4,11146
Volkswagen,Passat,2020,2.7,Electric,Automatic,295220,2,3,10395
Chevrolet,Impala,2007,4.8,Hybrid,Manual,185463,2,5,8290
Audi,A3,2012,1.4,Hybrid,Manual,58416,3,1,8931
Ford,Explorer,2005,4.8,Diesel,Semi-Automatic,135967,4,2,7680
Toyota,RAV4,2011,1.6,Petrol,Semi-Automatic,157351,2,5,5852
Ford,Fiesta,2009,4.8,Diesel,Semi-Automatic,17704,4,1,11245
Hyundai,Tucson,2016,3.5,Petrol,Semi-Automatic,242941,5,1,7541
Toyota,Camry,2010,1.4,Electric,Automatic,139151,4,4,9216
BMW,5 Series,2014,1,Diesel,Automatic,256630,5,1,5667
Hyundai,Tucson,2001,2.2,Petrol,Manual,3482,4,1,6530
Audi,Q5,2021,4.2,Electric,Manual,182510,4,4,12949
Volkswagen,Passat,2012,2.9,Diesel,Semi-Automatic,267772,2,3,5244
Chevrolet,Equinox,2011,1.8,Diesel,Manual,283202,5,3,3535
Hyundai,Sonata,2007,4.9,Petrol,Semi-Automatic,96380,3,5,9172
Volkswagen,Tiguan,2006,1.1,Petrol,Semi-Automatic,149277,5,2,4014
Kia,Optima,2016,2.5,Hybrid,Automatic,205614,4,3,9787
BMW,5 Series,2005,4.8,Electric,Semi-Automatic,152453,4,2,9350
Kia,Rio,2018,1.2,Petrol,Semi-Automatic,4980,5,5,10600
Audi,A3,2014,4.6,Electric,Semi-Automatic,236646,5,4,10167
Ford,Fiesta,2022,3.1,Petrol,Manual,3817,3,1,13723
Audi,A4,2022,3,Diesel,Automatic,271324,5,3,9773
Audi,A4,2008,4.8,Hybrid,Semi-Automatic,139375,4,5,9512
Ford,Fiesta,2019,3.6,Hybrid,Semi-Automatic,66083,2,3,13078
BMW,X5,2022,4.6,Electric,Manual,37782,5,5,16544
Honda,Accord,2019,2.3,Diesel,Automatic,148008,4,1,10639
Honda,CR-V,2023,3,Diesel,Manual,136599,5,5,11268
BMW,X5,2003,2.9,Petrol,Automatic,59216,2,1,8215
Hyundai,Elantra,2012,3.3,Electric,Automatic,77283,3,2,12954
Hyundai,Sonata,2007,4.5,Electric,Semi-Automatic,77159,4,1,11156
Toyota,Corolla,2018,2.5,Petrol,Manual,192443,2,5,8151
Ford,Explorer,2023,2.3,Electric,Manual,101136,4,4,13277
Kia,Optima,2015,4.8,Hybrid,Semi-Automatic,189504,5,4,10609
Toyota,Camry,2006,4.8,Electric,Semi-Automatic,217019,5,4,8359
Kia,Sportage,2000,3.6,Electric,Automatic,98150,2,1,9237
Ford,Explorer,2012,3.5,Hybrid,Automatic,44304,5,5,12813
Mercedes,C-Class,2016,2.8,Hybrid,Automatic,72677,5,3,12746
Ford,Fiesta,2007,5,Diesel,Manual,251657,2,1,6166
Ford,Fiesta,2002,3.8,Electric,Semi-Automatic,159289,5,2,7314
Chevrolet,Equinox,2013,2.5,Diesel,Semi-Automatic,180517,4,5,6889
Audi,A4,2013,2,Petrol,Automatic,25189,4,1,10996
Volkswagen,Tiguan,2007,1.8,Diesel,Automatic,215686,2,1,5186
Ford,Explorer,2006,3.3,Hybrid,Semi-Automatic,241454,2,3,5370
BMW,X5,2005,1.2,Electric,Automatic,83276,2,3,8634
Audi,A3,2002,4.1,Petrol,Automatic,69875,5,2,8902
Honda,Civic,2008,3.9,Hybrid,Automatic,294391,5,4,7012
Volkswagen,Passat,2013,1.2,Hybrid,Manual,227806,3,5,5643
Audi,A4,2008,4.8,Electric,Automatic,280697,5,5,9186
Audi,A4,2019,4.2,Petrol,Semi-Automatic,25155,3,2,13496
Toyota,Corolla,2011,3.2,Electric,Semi-Automatic,128745,5,2,10025
BMW,5 Series,2015,3.7,Petrol,Semi-Automatic,93100,5,5,10438
Chevrolet,Equinox,2018,1,Electric,Semi-Automatic,265067,2,2,7198
Kia,Optima,2019,1.8,Hybrid,Automatic,169832,4,2,10703
Toyota,RAV4,2008,4.9,Electric,Semi-Automatic,299872,5,5,7402
Kia,Rio,2009,1.3,Petrol,Semi-Automatic,29178,3,4,7516
Ford,Fiesta,2022,2.1,Diesel,Manual,120489,2,1,10390
Honda,CR-V,2009,3.1,Petrol,Semi-Automatic,68912,4,2,8521
Kia,Rio,2007,2.5,Petrol,Manual,35984,5,5,7980
Volkswagen,Passat,2004,3.6,Hybrid,Semi-Automatic,269148,2,4,4517
Toyota,RAV4,2007,1.6,Diesel,Semi-Automatic,217311,3,2,3453
Chevrolet,Equinox,2008,3.7,Electric,Manual,175163,2,5,8696
Chevrolet,Malibu,2022,3.1,Electric,Manual,65766,4,2,14484
BMW,3 Series,2000,1.7,Petrol,Automatic,287222,5,1,2000
Hyundai,Tucson,2015,3,Electric,Automatic,260437,2,5,9891
Chevrolet,Impala,2014,4.2,Hybrid,Manual,272984,4,5,8040
Mercedes,GLA,2006,3.4,Diesel,Manual,210479,5,5,5090
Honda,CR-V,2001,4.4,Diesel,Manual,169013,4,2,5419
Kia,Optima,2010,2.5,Electric,Manual,59054,5,2,10418
Ford,Explorer,2002,4,Diesel,Automatic,119893,5,4,7802
Audi,Q5,2015,2.2,Diesel,Semi-Automatic,269108,4,5,5417
Hyundai,Elantra,2009,4.1,Diesel,Semi-Automatic,228873,2,3,6322
Kia,Rio,2003,4.1,Hybrid,Manual,209373,3,3,5912
Honda,Civic,2002,4,Electric,Manual,225497,5,1,6190
Volkswagen,Tiguan,2017,4.3,Electric,Semi-Automatic,20535,3,5,15089
Audi,A3,2005,4,Hybrid,Manual,106223,4,4,8475
Ford,Focus,2019,3.9,Electric,Semi-Automatic,1639,4,5,15667
Ford,Focus,2000,2,Hybrid,Manual,277609,3,4,2000
Ford,Fiesta,2008,2.7,Hybrid,Semi-Automatic,83722,5,1,8525
Honda,Accord,2020,1.8,Diesel,Automatic,43859,2,3,12522
Toyota,RAV4,2009,4.5,Hybrid,Automatic,12159,2,4,13556
Ford,Fiesta,2021,3.1,Petrol,Automatic,118970,3,2,12620
Hyundai,Sonata,2018,4.9,Petrol,Semi-Automatic,170433,5,2,10991
Honda,CR-V,2017,5,Hybrid,Manual,297032,5,5,9259
Ford,Fiesta,2017,2.1,Petrol,Automatic,122987,4,1,10340
Chevrolet,Impala,2001,1.3,Diesel,Automatic,145662,4,3,4286
Mercedes,GLA,2003,3.6,Petrol,Automatic,207893,2,2,5942
Hyundai,Tucson,2015,2.4,Petrol,Automatic,116682,2,3,10166
BMW,3 Series,2016,2.2,Petrol,Semi-Automatic,123732,3,2,8625
Toyota,Corolla,2020,3.9,Diesel,Automatic,34167,3,4,14816
Volkswagen,Tiguan,2003,3.4,Diesel,Manual,19996,3,2,8000
Ford,Focus,2012,4.6,Hybrid,Automatic,206405,5,5,10671
Toyota,Camry,2019,4.8,Petrol,Manual,142494,2,2,11750
Mercedes,C-Class,2002,3.6,Hybrid,Semi-Automatic,173748,4,5,5825
Hyundai,Sonata,2013,1.2,Petrol,Automatic,222661,3,4,6246
Chevrolet,Impala,2022,4.9,Petrol,Automatic,102089,5,5,15058
Hyundai,Sonata,2017,2.8,Diesel,Automatic,260479,3,1,8290
Mercedes,C-Class,2008,3.4,Hybrid,Semi-Automatic,278091,3,2,5338
Toyota,RAV4,2003,3.6,Hybrid,Semi-Automatic,207321,5,2,5453
Chevrolet,Malibu,2018,2.8,Petrol,Automatic,230958,4,1,9180
Volkswagen,Passat,2013,4.5,Hybrid,Semi-Automatic,65084,3,3,12198
Volkswagen,Tiguan,2022,4.4,Hybrid,Manual,97612,4,4,14147
Volkswagen,Tiguan,2003,3.2,Electric,Semi-Automatic,73151,4,4,8736
Ford,Fiesta,2011,4,Hybrid,Automatic,210158,2,2,9696
Kia,Sportage,2023,1.4,Electric,Semi-Automatic,244698,3,4,9506
Kia,Rio,2011,2.2,Petrol,Semi-Automatic,274304,3,5,4113
Audi,A4,2023,3.9,Electric,Manual,154684,3,3,13806
Audi,Q5,2018,4.4,Hybrid,Automatic,149337,5,3,13413
Mercedes,E-Class,2008,4,Diesel,Automatic,271248,4,2,6575
Mercedes,C-Class,2004,2.5,Hybrid,Manual,98962,3,4,6820
Volkswagen,Tiguan,2021,1.3,Diesel,Manual,164120,5,2,8417
Volkswagen,Golf,2022,1.9,Electric,Automatic,24515,2,5,15609
Kia,Rio,2023,2.4,Diesel,Automatic,180980,5,2,11280
Honda,Accord,2020,3,Electric,Manual,42460,4,1,14250
Ford,Focus,2005,1.6,Electric,Semi-Automatic,14853,3,3,8902
Volkswagen,Golf,2000,2.1,Diesel,Automatic,70286,3,1,6294
BMW,5 Series,2019,2.3,Hybrid,Semi-Automatic,270864,2,1,7682
Toyota,Camry,2015,4,Diesel,Semi-Automatic,126329,5,2,10073
Ford,Focus,2001,3.8,Hybrid,Automatic,226739,4,4,6165
BMW,3 Series,2000,4.5,Electric,Semi-Automatic,274401,4,3,5111
Hyundai,Sonata,2013,2.1,Electric,Automatic,227696,4,3,9046
Toyota,Camry,2015,3.7,Electric,Semi-Automatic,74492,4,1,12810
Ford,Fiesta,2022,2.9,Diesel,Semi-Automatic,135747,4,4,10885
Kia,Optima,2011,3,Diesel,Manual,30805,5,3,9783
Mercedes,C-Class,2023,1.5,Electric,Semi-Automatic,199403,3,5,10511
Kia,Optima,2000,1.1,Hybrid,Manual,289881,3,3,2000
Audi,A3,2023,4.6,Petrol,Semi-Automatic,292227,2,1,9755
Honda,Accord,2017,1.4,Electric,Semi-Automatic,110132,2,5,10397
Hyundai,Sonata,2008,3.9,Hybrid,Automatic,289316,3,2,7113
Kia,Sportage,2022,2.8,Hybrid,Manual,281596,5,5,8868
Volkswagen,Passat,2019,4.6,Hybrid,Automatic,28657,4,4,16326
Hyundai,Tucson,2001,1.6,Diesel,Manual,209694,5,5,2000
Volkswagen,Golf,2010,2.5,Diesel,Manual,296480,2,3,3670
Chevrolet,Impala,2007,1.4,Diesel,Manual,193425,5,3,3731
Kia,Optima,2004,2.3,Petrol,Semi-Automatic,142028,2,4,4759
Volkswagen,Golf,2002,4.6,Hybrid,Manual,12628,2,1,10047
Volkswagen,Golf,2015,4.7,Electric,Automatic,91544,3,1,14969
Hyundai,Sonata,2007,4.9,Diesel,Semi-Automatic,30188,5,1,10496
Toyota,Corolla,2016,1.6,Petrol,Semi-Automatic,67192,2,4,9156
Ford,Explorer,2001,5,Hybrid,Manual,248527,3,2,5429
BMW,5 Series,2003,3,Diesel,Semi-Automatic,245888,3,1,3082
Toyota,RAV4,2005,1.4,Electric,Manual,153024,4,1,5939
Ford,Focus,2023,2.5,Petrol,Manual,9847,4,4,13303
Toyota,Camry,2012,4.8,Diesel,Manual,40530,2,3,11689
BMW,X5,2010,3.8,Diesel,Manual,189193,3,5,7116
Volkswagen,Tiguan,2003,3.5,Petrol,Manual,288928,3,3,2721
Kia,Optima,2022,2.7,Diesel,Manual,154055,5,4,10318
Volkswagen,Tiguan,2009,4.5,Hybrid,Manual,168429,5,5,8931
Volkswagen,Tiguan,2015,1.1,Petrol,Semi-Automatic,53792,3,5,8624
Ford,Explorer,2000,4.2,Petrol,Manual,185660,2,4,4586
Hyundai,Sonata,2011,1.5,Diesel,Semi-Automatic,233134,4,1,4237
BMW,5 Series,2018,1.2,Hybrid,Automatic,254393,4,1,8112
Volkswagen,Tiguan,2009,3,Electric,Semi-Automatic,99726,5,1,9805
Hyundai,Tucson,2004,2.5,Hybrid,Semi-Automatic,226047,3,1,4279
Toyota,Corolla,2008,2.1,Diesel,Manual,20238,5,3,8195
Kia,Rio,2020,4.6,Hybrid,Automatic,236754,3,5,12464
Ford,Fiesta,2014,2,Petrol,Semi-Automatic,82299,3,2,8654
Chevrolet,Impala,2008,2.8,Hybrid,Semi-Automatic,63673,3,3,9026
Hyundai,Tucson,2010,3.3,Petrol,Automatic,124811,5,5,9403
Ford,Fiesta,2007,1.3,Hybrid,Manual,32956,5,4,7840
Toyota,RAV4,2007,2.6,Electric,Manual,237475,5,4,6050
Honda,Accord,2005,4.8,Petrol,Semi-Automatic,71134,4,5,8977
BMW,5 Series,2006,4.5,Petrol,Manual,284826,2,4,4703
BMW,X5,2003,5,Diesel,Manual,288094,5,1,4238
Volkswagen,Passat,2000,1.5,Electric,Automatic,160968,5,2,5880
Toyota,RAV4,2007,4.4,Petrol,Semi-Automatic,293148,4,1,4737
Toyota,Camry,2005,2.3,Petrol,Manual,283017,2,1,2239
Mercedes,GLA,2008,4,Hybrid,Semi-Automatic,13396,3,5,11232
Ford,Fiesta,2009,4.4,Diesel,Semi-Automatic,39084,3,5,10418
Honda,Accord,2021,1.8,Diesel,Manual,116261,4,2,9874
Hyundai,Elantra,2023,4.5,Electric,Semi-Automatic,79478,4,4,15910
Toyota,Corolla,2005,3.7,Hybrid,Manual,180656,2,2,6686
Mercedes,C-Class,2009,1.2,Hybrid,Manual,15053,3,4,8698
Ford,Explorer,2002,4,Hybrid,Automatic,258945,4,3,6021
Chevrolet,Impala,2018,4.7,Diesel,Automatic,190657,4,5,11886
Ford,Fiesta,2013,3.6,Hybrid,Semi-Automatic,85702,4,1,10885
Hyundai,Sonata,2002,3.7,Electric,Semi-Automatic,75401,4,5,8891
Toyota,Camry,2022,1.5,Hybrid,Manual,276618,5,5,7667
Audi,Q5,2009,2.8,Hybrid,Semi-Automatic,88059,3,4,8838
Mercedes,GLA,2001,2.1,Diesel,Manual,36496,3,4,5770
Toyota,Corolla,2007,3.4,Electric,Manual,165315,3,4,8293
Hyundai,Tucson,2011,1.2,Electric,Semi-Automatic,216797,5,2,6264
Hyundai,Elantra,2019,1.8,Hybrid,Semi-Automatic,287756,5,5,6844
BMW,3 Series,2007,1.5,Electric,Manual,138200,3,1,6936
Chevrolet,Impala,2019,5,Petrol,Automatic,266558,2,2,10968
BMW,5 Series,2019,1.2,Diesel,Semi-Automatic,180993,3,5,7380
Chevrolet,Equinox,2011,3.2,Electric,Manual,293123,3,4,6737
Volkswagen,Tiguan,2008,1.9,Electric,Manual,92722,2,2,8545
Honda,Civic,2005,4.4,Electric,Semi-Automatic,156422,5,3,8871
Mercedes,C-Class,2000,3,Electric,Manual,19128,3,1,8717
Volkswagen,Passat,2018,4.1,Electric,Semi-Automatic,159375,2,4,12412
Kia,Rio,2021,3.5,Hybrid,Manual,58297,4,2,13734
Ford,Fiesta,2020,2.7,Diesel,Manual,112323,4,2,10553
BMW,5 Series,2006,2.4,Electric,Automatic,144613,4,2,8907
Volkswagen,Tiguan,2005,1.9,Hybrid,Automatic,195977,4,1,6080
Honda,Civic,2000,2.8,Diesel,Manual,67531,3,1,5549
Toyota,RAV4,2018,4.9,Diesel,Semi-Automatic,89605,5,5,12607
Volkswagen,Passat,2004,3.4,Petrol,Semi-Automatic,66782,5,2,7364
Mercedes,GLA,2002,3.7,Electric,Manual,215352,2,4,6092
Honda,Accord,2003,3.7,Hybrid,Manual,112013,5,3,7459
Hyundai,Elantra,2008,4.6,Hybrid,Manual,190787,5,2,8284
Ford,Focus,2019,3.6,Petrol,Automatic,230081,4,3,10298
Honda,Accord,2015,2.5,Diesel,Manual,153086,4,4,8038
Honda,Accord,2010,2.8,Diesel,Manual,114152,3,1,7616
BMW,X5,2002,4.7,Electric,Semi-Automatic,140219,5,4,8595
Mercedes,C-Class,2011,4.8,Diesel,Manual,192258,4,1,8354
Audi,Q5,2007,4.2,Electric,Semi-Automatic,207120,2,4,8257
Mercedes,GLA,2002,1.4,Electric,Automatic,65373,3,4,8292
BMW,5 Series,2018,4.9,Electric,Semi-Automatic,91708,3,4,14565
Toyota,RAV4,2018,3.1,Hybrid,Manual,151772,3,2,10564
Toyota,RAV4,2023,4,Electric,Semi-Automatic,42653,5,3,16146
Chevrolet,Impala,2006,3,Electric,Manual,9880,4,5,10702
Volkswagen,Tiguan,2006,1.4,Electric,Automatic,158390,3,3,7632
Ford,Focus,2007,4.5,Hybrid,Semi-Automatic,904,3,4,11681
Honda,Civic,2019,2.5,Hybrid,Manual,131432,4,5,10671
Volkswagen,Passat,2014,4.5,Hybrid,Semi-Automatic,174030,4,3,10319
Toyota,Corolla,2010,2.2,Petrol,Manual,299385,3,1,3312
BMW,3 Series,2012,2.7,Electric,Manual,153829,4,4,9323
Volkswagen,Passat,2015,3.9,Diesel,Semi-Automatic,258572,5,4,7328
Toyota,Corolla,2012,1.8,Diesel,Semi-Automatic,245309,3,5,4593
Hyundai,Tucson,2019,1.5,Hybrid,Automatic,156595,2,1,10668
Kia,Optima,2020,3.4,Petrol,Manual,243546,3,2,8629
Volkswagen,Golf,2008,2.9,Petrol,Semi-Automatic,83358,5,4,7732
Audi,A3,2015,3.8,Hybrid,Automatic,206636,2,2,10767
Kia,Sportage,2023,4.8,Petrol,Semi-Automatic,114120,4,5,13517
Toyota,Corolla,2013,1.5,Hybrid,Semi-Automatic,79587,4,3,8908
Chevrolet,Impala,2011,2.2,Electric,Automatic,14245,3,1,12815
Kia,Optima,2016,1.3,Electric,Manual,3066,5,4,12138
Hyundai,Elantra,2003,3.6,Hybrid,Automatic,249838,4,3,6103
Volkswagen,Golf,2020,4.4,Diesel,Manual,294239,2,3,8615
Kia,Optima,2017,2,Petrol,Automatic,107656,2,5,10546
Kia,Rio,2020,4.9,Petrol,Semi-Automatic,221594,5,5,10568
Chevrolet,Malibu,2023,2.6,Hybrid,Manual,241277,3,1,9774
BMW,X5,2003,4.6,Electric,Automatic,437,3,2,13091
Audi,Q5,2014,1.7,Diesel,Manual,202918,3,3,5941
Toyota,RAV4,2000,2.1,Petrol,Semi-Automatic,220704,3,4,2000
Volkswagen,Tiguan,2017,4.4,Diesel,Manual,231171,2,5,8976
Chevrolet,Impala,2002,3.5,Electric,Automatic,2288,3,5,11654
Kia,Rio,2012,3,Hybrid,Manual,89882,5,5,9902
Audi,A3,2021,3.1,Hybrid,Automatic,7341,5,4,15853
Chevrolet,Impala,2007,2.2,Diesel,Manual,71850,3,2,6963
Kia,Sportage,2019,2.5,Diesel,Manual,31834,4,3,11663
Mercedes,E-Class,2007,4.2,Diesel,Automatic,54454,2,2,10810
Honda,Civic,2022,2,Hybrid,Manual,188473,2,5,9930
Mercedes,E-Class,2021,2.9,Electric,Manual,266532,2,3,9969
Volkswagen,Golf,2002,1.3,Hybrid,Manual,134865,5,5,4302
Kia,Optima,2010,4.2,Electric,Manual,172471,4,1,9850
Hyundai,Elantra,2014,2,Electric,Automatic,289946,2,1,8001
Chevrolet,Malibu,2011,1.7,Diesel,Manual,241494,4,1,4270
Audi,Q5,2004,2.9,Diesel,Manual,133338,3,1,5533
Mercedes,C-Class,2021,4.3,Electric,Manual,230823,5,1,12083
Ford,Fiesta,2017,4.7,Hybrid,Manual,51156,4,3,13876
Honda,CR-V,2005,2.7,Petrol,Semi-Automatic,7234,4,4,8155
Toyota,Corolla,2005,1.4,Diesel,Semi-Automatic,264092,3,1,2000
Hyundai,Sonata,2007,1.8,Petrol,Manual,180423,3,3,4391
Ford,Fiesta,2013,2.2,Hybrid,Semi-Automatic,83519,2,3,9529
Mercedes,E-Class,2018,1.8,Diesel,Semi-Automatic,209216,3,3,7115
Chevrolet,Impala,2009,2.2,Electric,Semi-Automatic,188173,3,5,7236
Toyota,RAV4,2001,1.7,Electric,Automatic,184210,2,3,5915
BMW,X5,2012,1.1,Diesel,Semi-Automatic,235097,4,2,4098
Volkswagen,Tiguan,2002,4.7,Electric,Manual,92327,2,4,9553
Hyundai,Sonata,2015,4.2,Electric,Semi-Automatic,39016,3,3,14019
Chevrolet,Impala,2019,2.3,Diesel,Semi-Automatic,197549,2,3,8149
Kia,Rio,2016,4.1,Petrol,Semi-Automatic,90811,3,4,11183
Chevrolet,Equinox,2021,4.1,Hybrid,Automatic,192897,5,3,13142
Hyundai,Tucson,2016,2.9,Hybrid,Semi-Automatic,218335,4,2,8433
Audi,A4,2002,3.6,Electric,Manual,172993,4,1,6840
Chevrolet,Malibu,2009,4.7,Electric,Automatic,287375,3,5,9252
Mercedes,C-Class,2014,4.9,Hybrid,Automatic,284339,5,2,10013
Chevrolet,Impala,2015,3.9,Hybrid,Manual,268167,3,3,8136
Honda,CR-V,2010,4.4,Hybrid,Automatic,209455,3,5,9810
BMW,5 Series,2014,2.1,Diesel,Automatic,247483,4,4,6950
Ford,Explorer,2020,4.9,Diesel,Automatic,113616,3,3,14227
Chevrolet,Malibu,2001,4.5,Diesel,Automatic,13424,3,5,10131
Hyundai,Sonata,2004,2.4,Petrol,Manual,40005,2,1,6899
Audi,Q5,2007,3.2,Petrol,Manual,53874,5,4,8322
BMW,5 Series,2010,4.8,Electric,Semi-Automatic,224853,2,1,9402
Honda,CR-V,2015,4.5,Electric,Automatic,174315,4,4,13113
Audi,Q5,2008,4.3,Diesel,Semi-Automatic,270670,3,2,5386
Toyota,Camry,2009,4.2,Hybrid,Manual,259739,4,1,6805
Hyundai,Elantra,2007,3.7,Petrol,Manual,126660,5,2,7366
Honda,Civic,2020,4.7,Electric,Automatic,183276,3,5,14634
Volkswagen,Golf,2006,1.4,Electric,Semi-Automatic,291291,4,4,3474
BMW,5 Series,2011,3.3,Hybrid,Semi-Automatic,122967,3,3,9240
Volkswagen,Golf,2002,3.1,Hybrid,Semi-Automatic,80423,3,3,7191
Chevrolet,Malibu,2005,3.9,Hybrid,Manual,258964,2,3,5320
Honda,Accord,2006,4.1,Petrol,Manual,53559,2,1,8928
Chevrolet,Equinox,2005,2.1,Electric,Manual,23508,3,2,9229
Toyota,Corolla,2014,2.6,Electric,Semi-Automatic,190357,5,4,9092
BMW,5 Series,2003,3.7,Diesel,Semi-Automatic,98183,2,4,6736
Audi,A3,2018,4.1,Diesel,Manual,194680,4,1,9706
Chevrolet,Impala,2004,3.4,Diesel,Manual,220116,4,3,4297
Chevrolet,Malibu,2004,2,Electric,Automatic,218600,2,1,6428
Ford,Fiesta,2016,2.4,Electric,Manual,242797,2,3,8444
Kia,Sportage,2010,1.3,Hybrid,Semi-Automatic,195406,3,1,5491
Chevrolet,Impala,2011,1.7,Petrol,Manual,205613,5,5,4987
Kia,Optima,2021,4,Electric,Semi-Automatic,39843,4,5,15603
Chevrolet,Impala,2004,3.2,Petrol,Manual,74305,3,5,7013
Ford,Focus,2003,3.2,Hybrid,Manual,247360,4,1,4252
Ford,Explorer,2010,3,Electric,Manual,9463,4,4,11910
Chevrolet,Malibu,2019,2.5,Hybrid,Semi-Automatic,65264,2,5,11994
Honda,CR-V,2016,3.6,Diesel,Manual,85010,4,1,10799
Ford,Fiesta,2009,2.7,Petrol,Semi-Automatic,181856,2,1,5862
Hyundai,Elantra,2009,3.4,Petrol,Semi-Automatic,83750,5,4,8525
Toyota,Camry,2014,1.8,Electric,Manual,142119,4,3,9257
Audi,Q5,2014,4.4,Petrol,Automatic,97537,4,3,12249
Chevrolet,Impala,2017,3,Electric,Automatic,20308,3,4,15293
Honda,Civic,2011,4.5,Electric,Manual,204561,5,2,9808
Chevrolet,Impala,2020,4.9,Hybrid,Automatic,268777,2,5,12124
Volkswagen,Golf,2019,3.3,Electric,Manual,64548,3,1,13809
Mercedes,E-Class,2011,1.4,Electric,Semi-Automatic,208998,2,4,6620
Honda,CR-V,2000,1.3,Electric,Manual,263968,4,1,2120
Honda,CR-V,2020,4.3,Electric,Semi-Automatic,20484,3,2,15990
Audi,A4,2017,3.3,Hybrid,Automatic,95902,4,2,13081
Audi,A3,2006,1.4,Electric,Automatic,103578,2,4,8728
BMW,5 Series,2005,4.3,Hybrid,Semi-Automatic,80192,3,5,9296
Volkswagen,Tiguan,2005,1.9,Electric,Manual,51361,4,3,8472
Ford,Focus,2022,3.7,Electric,Automatic,207358,2,3,13752
Chevrolet,Malibu,2013,2.7,Electric,Automatic,232392,5,5,9552
Ford,Explorer,2002,4.6,Diesel,Automatic,222292,4,3,6354
Honda,Accord,2010,1.4,Diesel,Semi-Automatic,288198,2,2,2736
Mercedes,C-Class,2012,2.6,Electric,Automatic,67976,4,5,12440
Honda,Civic,2001,4,Hybrid,Automatic,1383,4,4,10872
Toyota,Camry,2005,3.8,Diesel,Semi-Automatic,262618,3,1,4147
Honda,Accord,2018,1.5,Diesel,Semi-Automatic,125435,4,2,8491
Toyota,RAV4,2021,1.8,Hybrid,Automatic,230631,2,3,10087
BMW,3 Series,2008,1.5,Petrol,Manual,154191,5,5,4916
Honda,Civic,2005,2.2,Diesel,Automatic,212060,5,4,5058
Ford,Focus,2009,3.6,Diesel,Manual,222222,4,1,5955
Mercedes,GLA,2010,3.4,Electric,Automatic,212166,2,2,9756
Honda,CR-V,2017,3.2,Hybrid,Automatic,93604,4,5,13027
Chevrolet,Impala,2010,4.5,Diesel,Manual,202890,3,4,7542
Toyota,RAV4,2014,4.1,Petrol,Manual,133938,3,3,9721
Mercedes,GLA,2023,1.6,Hybrid,Semi-Automatic,198863,4,3,9622
Mercedes,GLA,2009,3.1,Petrol,Manual,31670,3,2,9266
Ford,Explorer,2000,3.3,Diesel,Manual,92704,2,1,5545
Kia,Rio,2016,3.5,Hybrid,Manual,147604,4,3,10447
Honda,Accord,2021,1.9,Hybrid,Semi-Automatic,24244,4,4,12815
Chevrolet,Impala,2019,3,Hybrid,Manual,34648,2,5,13107
Honda,Accord,2016,4.1,Electric,Manual,139325,5,3,12213
Hyundai,Elantra,2006,4.5,Diesel,Manual,292614,4,2,4547
Audi,A4,2010,1.5,Diesel,Automatic,93634,3,3,8227
BMW,5 Series,2011,3.1,Petrol,Semi-Automatic,168566,2,5,7128
Chevrolet,Malibu,2011,3.1,Electric,Automatic,225747,3,2,9485
BMW,3 Series,2011,1.2,Hybrid,Automatic,201386,5,3,7072
Hyundai,Sonata,2010,1.8,Diesel,Semi-Automatic,264223,3,1,3615
BMW,3 Series,2014,3.1,Electric,Automatic,174169,2,2,11416
Toyota,RAV4,2014,1.1,Hybrid,Manual,291608,4,3,4567
Ford,Explorer,2021,3.9,Petrol,Automatic,128902,2,4,13221
Ford,Focus,2016,2.9,Diesel,Automatic,120127,4,5,10897
Ford,Fiesta,2023,3,Diesel,Semi-Automatic,296982,2,5,8060
Toyota,Corolla,2008,4.3,Petrol,Automatic,60987,4,3,11080
Toyota,Camry,2014,1.5,Hybrid,Manual,294361,3,1,4912
Kia,Optima,2006,4.6,Petrol,Semi-Automatic,289058,4,2,4718
Honda,Accord,2012,4.4,Electric,Automatic,192668,4,2,11746
BMW,5 Series,2009,1.7,Diesel,Manual,59558,4,2,7308
Mercedes,C-Class,2015,3.5,Diesel,Automatic,217659,2,3,9246
Honda,Accord,2010,1.5,Hybrid,Semi-Automatic,91828,3,5,7763
Hyundai,Tucson,2010,2.1,Petrol,Semi-Automatic,44690,3,4,8306
BMW,3 Series,2017,3.7,Diesel,Manual,182293,2,4,9254
BMW,X5,2023,3.2,Petrol,Semi-Automatic,226042,4,5,9679
Chevrolet,Malibu,2001,4,Petrol,Manual,156848,5,5,5263
Audi,Q5,2023,1.2,Diesel,Semi-Automatic,11565,4,4,11968
Kia,Optima,2014,1.4,Diesel,Manual,86788,5,4,7964
Hyundai,Elantra,2021,4.4,Hybrid,Automatic,139803,3,4,14503
Honda,Accord,2005,1.7,Diesel,Automatic,237985,5,1,4040
Mercedes,E-Class,2014,2.6,Diesel,Manual,166129,2,2,7577
Volkswagen,Passat,2019,3.5,Petrol,Automatic,241961,3,1,9960
Chevrolet,Equinox,2022,1.1,Hybrid,Semi-Automatic,235673,3,2,8086
Honda,CR-V,2015,3.8,Hybrid,Semi-Automatic,234430,3,1,8711
Volkswagen,Tiguan,2005,4.7,Petrol,Manual,150442,3,5,7291
Toyota,RAV4,2012,2.2,Petrol,Semi-Automatic,184186,2,5,6216
Kia,Sportage,2023,1.7,Petrol,Semi-Automatic,52144,4,1,11657
